folioviv,combustible2,estufa3,electricidad,refri,radio_tv,telefono4
101383004,0,0,0,0,0,0
101383005,0,0,0,0,0,0
101383006,0,0,0,0,0,0
101394201,0,0,0,0,0,0
101394202,0,0,0,0,0,0
101394203,0,0,0,1,0,0
101394204,0,0,0,0,0,0
101394205,0,0,0,0,0,0
101394206,0,0,0,0,0,0
101395301,0,0,0,0,0,0
101395302,0,0,0,0,0,0
101395303,0,0,0,0,0,0
101395306,0,0,0,0,0,0
101399801,0,0,0,0,0,0
101399802,0,0,0,0,0,0
101399803,0,0,0,0,0,0
101399804,0,0,0,0,0,0
101399805,0,0,0,0,0,0
101399806,0,0,0,0,0,0
101404401,0,0,0,0,0,0
101404402,0,0,0,0,0,0
101404403,0,0,0,0,0,0
101404404,0,0,0,0,0,0
101404406,0,0,0,0,0,0
101408701,0,0,0,0,0,0
101408702,0,0,0,0,0,0
101408703,0,0,0,0,0,0
101408704,0,0,0,0,0,0
101408705,0,0,0,0,0,0
101455901,0,0,0,0,0,1
101455902,0,0,0,0,0,0
101455903,0,0,0,1,0,0
101455904,0,0,0,0,0,0
101455905,0,0,0,0,0,0
101455906,0,0,0,0,0,0
101457501,0,0,0,0,0,0
101457503,0,0,0,0,0,0
101457504,0,0,0,0,0,0
101457505,0,0,0,0,0,0
101457506,0,0,0,0,0,0
101463601,0,0,0,0,0,0
101463602,0,0,0,1,0,0
101463603,0,0,0,0,0,0
101463604,0,0,0,0,0,0
101463605,0,0,0,0,0,0
101463606,0,0,0,0,0,0
101464001,0,0,0,0,0,0
101464002,0,0,0,0,0,0
101464003,0,0,0,0,0,0
101464004,0,0,0,0,0,0
101466201,0,0,0,0,0,0
101466202,0,0,0,0,0,0
101466204,0,0,0,0,0,0
101466205,0,0,0,0,0,0
101466206,0,0,0,0,0,0
101493301,0,0,0,0,0,0
101493302,0,0,0,0,0,0
101493303,0,0,0,0,1,0
101493305,0,0,0,0,0,0
101493306,0,0,0,0,0,0
101499801,0,0,0,0,0,0
101499802,0,0,0,0,0,0
101499804,0,0,0,0,0,0
101499805,0,0,0,0,0,0
101499806,0,0,0,0,0,0
101511401,0,0,0,1,0,0
101511405,0,0,0,0,0,0
101511406,0,0,0,0,0,0
101512701,0,0,0,0,0,0
101512702,0,0,0,1,0,0
101512703,0,0,0,1,0,0
101512704,0,0,0,0,0,0
101512705,0,0,0,0,0,0
101512706,0,0,0,0,0,1
101548901,0,0,0,0,0,0
101548902,0,0,0,0,0,0
101548903,0,0,0,0,0,0
101548904,0,0,0,0,0,0
101555501,0,0,0,0,0,0
101555502,0,0,0,0,0,0
101555503,0,0,0,0,0,0
101555504,0,0,0,0,0,0
101555505,0,0,0,0,0,0
101555506,0,0,0,0,0,0
101556603,0,0,0,0,0,0
101556604,0,0,0,0,0,0
101556605,0,0,0,1,0,0
101556606,0,0,0,0,0,0
101565001,0,0,0,0,0,0
101565002,0,0,0,0,0,0
101565003,0,0,0,0,0,0
101577201,0,0,0,0,0,0
101577202,0,0,0,0,0,0
101577203,0,0,0,1,1,0
101577204,0,0,0,0,0,0
101577206,0,0,0,0,0,0
101596301,0,0,0,0,0,0
101596302,0,0,0,0,0,0
101596303,0,0,0,0,0,0
101596304,0,0,0,0,0,0
101596305,0,0,0,0,0,0
101596306,0,0,0,0,0,0
101598802,0,0,0,0,0,0
101598803,0,0,0,0,0,1
101598805,0,0,0,0,0,0
101600402,0,0,0,1,0,0
101600403,0,0,0,0,0,0
101600404,0,0,0,0,0,0
101600405,0,0,0,0,0,0
101600406,0,0,0,0,0,0
101605701,0,0,0,0,0,0
101605702,0,0,0,0,0,0
101605704,0,0,0,0,0,0
101605705,0,0,0,0,0,0
101605706,0,0,0,0,0,0
101606901,0,0,0,0,0,0
101606902,0,0,0,0,0,0
101606903,0,0,0,0,0,0
101606905,0,0,0,0,0,0
101608501,0,0,0,0,0,0
